,Year,named_color,rgb,rgb_tuple,color,year_freq_counter
0,1862,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,0
1,1862,Black Shadows,"(191, 175, 178)","(191, 175, 178)",#bfafb2,1
2,1862,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,2
3,1864,Ivory,"(255, 255, 240)","(255, 255, 240)",#fffff0,0
4,1867,Honeydew,"(240, 255, 240)","(240, 255, 240)",#f0fff0,0
5,1873,Tan,"(210, 180, 140)","(210, 180, 140)",#d2b48c,0
6,1873,Lemon Chiffon,"(255, 250, 205)","(255, 250, 205)",#fffacd,1
7,1873,Burlywood,"(222, 184, 135)","(222, 184, 135)",#deb887,2
8,1873,Light Yellow,"(255, 255, 224)","(255, 255, 224)",#ffffe0,3
9,1874,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,0
10,1875,Taupe,"(72, 60, 50)","(72, 60, 50)",#483c32,0
11,1876,Khaki,"(240, 230, 140)","(240, 230, 140)",#f0e68c,0
12,1876,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,1
13,1876,Burlywood,"(222, 184, 135)","(222, 184, 135)",#deb887,2
14,1876,Burlywood,"(222, 184, 135)","(222, 184, 135)",#deb887,3
15,1876,Grullo,"(169, 154, 134)","(169, 154, 134)",#a99a86,4
16,1877,Black Olive,"(59, 60, 54)","(59, 60, 54)",#3b3c36,0
17,1877,Burlywood,"(222, 184, 135)","(222, 184, 135)",#deb887,1
18,1878,Lemon Meringue,"(246, 234, 190)","(246, 234, 190)",#f6eabe,0
19,1879,Ivory,"(255, 255, 240)","(255, 255, 240)",#fffff0,0
20,1879,Silver Pink,"(196, 174, 173)","(196, 174, 173)",#c4aead,1
21,1879,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,2
22,1879,Old Gold,"(207, 181, 59)","(207, 181, 59)",#cfb53b,3
23,1880,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,0
24,1880,Navajo White,"(255, 222, 173)","(255, 222, 173)",#ffdead,1
25,1880,Beaver,"(159, 129, 112)","(159, 129, 112)",#9f8170,2
26,1881,Khaki,"(240, 230, 140)","(240, 230, 140)",#f0e68c,0
27,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,1
28,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,2
29,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,3
30,1881,Taupe,"(72, 60, 50)","(72, 60, 50)",#483c32,4
31,1881,Black Olive,"(59, 60, 54)","(59, 60, 54)",#3b3c36,5
32,1881,Lavender Blue,"(204, 204, 255)","(204, 204, 255)",#ccccff,6
33,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,7
34,1881,Isabelline,"(244, 240, 236)","(244, 240, 236)",#f4f0ec,8
35,1881,Burlywood,"(222, 184, 135)","(222, 184, 135)",#deb887,9
36,1881,Cornsilk,"(255, 248, 220)","(255, 248, 220)",#fff8dc,10
37,1881,Ivory,"(255, 255, 240)","(255, 255, 240)",#fffff0,11
38,1881,Dark Jungle,"(26, 36, 33)","(26, 36, 33)",#1a2421,12
39,1881,Bistre,"(61, 43, 31)","(61, 43, 31)",#3d2b1f,13
40,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,14
41,1881,Mellow Apricot,"(248, 184, 120)","(248, 184, 120)",#f8b878,15
42,1881,Isabelline,"(244, 240, 236)","(244, 240, 236)",#f4f0ec,16
43,1881,Black Shadows,"(191, 175, 178)","(191, 175, 178)",#bfafb2,17
44,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,18
45,1881,Old Burgundy,"(67, 48, 46)","(67, 48, 46)",#43302e,19
46,1881,Cornsilk,"(255, 248, 220)","(255, 248, 220)",#fff8dc,20
47,1881,Black Olive,"(59, 60, 54)","(59, 60, 54)",#3b3c36,21
48,1881,Burlywood,"(222, 184, 135)","(222, 184, 135)",#deb887,22
49,1881,Mellow Apricot,"(248, 184, 120)","(248, 184, 120)",#f8b878,23
50,1881,Eggshell,"(240, 234, 214)","(240, 234, 214)",#f0ead6,24
51,1881,Old Burgundy,"(67, 48, 46)","(67, 48, 46)",#43302e,25
52,1881,French Bistre,"(133, 109, 77)","(133, 109, 77)",#856d4d,26
53,1881,Wheat,"(245, 222, 179)","(245, 222, 179)",#f5deb3,27
54,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,28
55,1881,Lemon Chiffon,"(255, 250, 205)","(255, 250, 205)",#fffacd,29
56,1881,Wheat,"(245, 222, 179)","(245, 222, 179)",#f5deb3,30
57,1881,French Bistre,"(133, 109, 77)","(133, 109, 77)",#856d4d,31
58,1881,Dutch White,"(239, 223, 187)","(239, 223, 187)",#efdfbb,32
59,1881,Old Burgundy,"(67, 48, 46)","(67, 48, 46)",#43302e,33
60,1881,Rifle Green,"(68, 76, 56)","(68, 76, 56)",#444c38,34
61,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,35
62,1881,Ivory,"(255, 255, 240)","(255, 255, 240)",#fffff0,36
63,1881,Vegas Gold,"(197, 179, 88)","(197, 179, 88)",#c5b358,37
64,1881,Antique White,"(250, 235, 215)","(250, 235, 215)",#faebd7,38
65,1881,Lemon Meringue,"(246, 234, 190)","(246, 234, 190)",#f6eabe,39
66,1881,Seashell,"(255, 245, 238)","(255, 245, 238)",#fff5ee,40
67,1881,Tan,"(210, 180, 140)","(210, 180, 140)",#d2b48c,41
68,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,42
69,1881,Black Olive,"(59, 60, 54)","(59, 60, 54)",#3b3c36,43
70,1881,Wheat,"(245, 222, 179)","(245, 222, 179)",#f5deb3,44
71,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,45
72,1881,Arylide Yellow,"(233, 214, 107)","(233, 214, 107)",#e9d66b,46
73,1881,Sky Blue,"(135, 206, 235)","(135, 206, 235)",#87ceeb,47
74,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,48
75,1881,Antique White,"(250, 235, 215)","(250, 235, 215)",#faebd7,49
76,1881,Cornsilk,"(255, 248, 220)","(255, 248, 220)",#fff8dc,50
77,1881,Antique White,"(250, 235, 215)","(250, 235, 215)",#faebd7,51
78,1881,Ivory,"(255, 255, 240)","(255, 255, 240)",#fffff0,52
79,1881,Timberwolf,"(219, 215, 210)","(219, 215, 210)",#dbd7d2,53
80,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,54
81,1881,Navajo White,"(255, 222, 173)","(255, 222, 173)",#ffdead,55
82,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,56
83,1881,Ebony,"(85, 93, 80)","(85, 93, 80)",#555d50,57
84,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,58
85,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,59
86,1881,Black Olive,"(59, 60, 54)","(59, 60, 54)",#3b3c36,60
87,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,61
88,1881,Antique White,"(250, 235, 215)","(250, 235, 215)",#faebd7,62
89,1881,Burlywood,"(222, 184, 135)","(222, 184, 135)",#deb887,63
90,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,64
91,1881,Camel,"(193, 154, 107)","(193, 154, 107)",#c19a6b,65
92,1881,Wheat,"(245, 222, 179)","(245, 222, 179)",#f5deb3,66
93,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,67
94,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,68
95,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,69
96,1881,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,70
97,1881,Snow,"(255, 250, 250)","(255, 250, 250)",#fffafa,71
98,1881,Black Olive,"(59, 60, 54)","(59, 60, 54)",#3b3c36,72
99,1881,Slate Blue,"(106, 90, 205)","(106, 90, 205)",#6a5acd,73
100,1881,Eggplant,"(97, 64, 81)","(97, 64, 81)",#614051,74
101,1881,Mellow Apricot,"(248, 184, 120)","(248, 184, 120)",#f8b878,75
102,1881,Lemon Meringue,"(246, 234, 190)","(246, 234, 190)",#f6eabe,76
103,1881,Navajo White,"(255, 222, 173)","(255, 222, 173)",#ffdead,77
104,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,0
105,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,1
106,1882,Kombu Green,"(53, 66, 48)","(53, 66, 48)",#354230,2
107,1882,Khaki,"(240, 230, 140)","(240, 230, 140)",#f0e68c,3
108,1882,Dark Jungle,"(26, 36, 33)","(26, 36, 33)",#1a2421,4
109,1882,Light Goldenrod,"(255, 236, 139)","(255, 236, 139)",#ffec8b,5
110,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,6
111,1882,Black Olive,"(59, 60, 54)","(59, 60, 54)",#3b3c36,7
112,1882,Bistre,"(61, 43, 31)","(61, 43, 31)",#3d2b1f,8
113,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,9
114,1882,Light Yellow,"(255, 255, 224)","(255, 255, 224)",#ffffe0,10
115,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,11
116,1882,Antique White,"(250, 235, 215)","(250, 235, 215)",#faebd7,12
117,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,13
118,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,14
119,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,15
120,1882,Antique White,"(250, 235, 215)","(250, 235, 215)",#faebd7,16
121,1882,Black Olive,"(59, 60, 54)","(59, 60, 54)",#3b3c36,17
122,1882,Lemon Chiffon,"(255, 250, 205)","(255, 250, 205)",#fffacd,18
123,1882,Light French,"(200, 173, 127)","(200, 173, 127)",#c8ad7f,19
124,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,20
125,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,21
126,1882,Metallic Sunburst,"(156, 124, 56)","(156, 124, 56)",#9c7c38,22
127,1882,Gray,"(190, 190, 190)","(190, 190, 190)",#bebebe,23
