,named_color,count,rgb,rgb_tuple,hex
0,Gray,425,"(190, 190, 190)","(190, 190, 190)",#bebebe
1,Burlywood,67,"(222, 184, 135)","(222, 184, 135)",#deb887
2,Wheat,47,"(245, 222, 179)","(245, 222, 179)",#f5deb3
3,Timberwolf,47,"(219, 215, 210)","(219, 215, 210)",#dbd7d2
4,Lemon Chiffon,43,"(255, 250, 205)","(255, 250, 205)",#fffacd
5,Antique White,40,"(250, 235, 215)","(250, 235, 215)",#faebd7
6,Steel Blue,37,"(70, 130, 180)","(70, 130, 180)",#4682b4
7,Ivory,36,"(255, 255, 240)","(255, 255, 240)",#fffff0
8,Black Olive,34,"(59, 60, 54)","(59, 60, 54)",#3b3c36
9,Navajo White,30,"(255, 222, 173)","(255, 222, 173)",#ffdead
10,Dark Olive,29,"(85, 107, 47)","(85, 107, 47)",#556b2f
11,Cornsilk,29,"(255, 248, 220)","(255, 248, 220)",#fff8dc
12,Dark Jungle,25,"(26, 36, 33)","(26, 36, 33)",#1a2421
13,Bistre,23,"(61, 43, 31)","(61, 43, 31)",#3d2b1f
14,Old Burgundy,23,"(67, 48, 46)","(67, 48, 46)",#43302e
15,Royal Blue,21,"(65, 105, 225)","(65, 105, 225)",#4169e1
16,Khaki,21,"(240, 230, 140)","(240, 230, 140)",#f0e68c
17,Ebony,20,"(85, 93, 80)","(85, 93, 80)",#555d50
18,Spanish Bistre,18,"(128, 117, 50)","(128, 117, 50)",#807532
19,Sky Blue,17,"(135, 206, 235)","(135, 206, 235)",#87ceeb
20,Light Yellow,17,"(255, 255, 224)","(255, 255, 224)",#ffffe0
21,Medium Champagne,17,"(243, 229, 171)","(243, 229, 171)",#f3e5ab
22,Dutch White,16,"(239, 223, 187)","(239, 223, 187)",#efdfbb
23,Glaucous,16,"(96, 130, 182)","(96, 130, 182)",#6082b6
24,Mellow Apricot,16,"(248, 184, 120)","(248, 184, 120)",#f8b878
25,Brass,15,"(181, 166, 66)","(181, 166, 66)",#b5a642
26,Deep Champagne,14,"(250, 214, 165)","(250, 214, 165)",#fad6a5
27,Kombu Green,14,"(53, 66, 48)","(53, 66, 48)",#354230
28,Hunter Green,14,"(53, 94, 59)","(53, 94, 59)",#355e3b
29,Earth Yellow,14,"(225, 169, 95)","(225, 169, 95)",#e1a95f
30,Grullo,14,"(169, 154, 134)","(169, 154, 134)",#a99a86
31,Camel,13,"(193, 154, 107)","(193, 154, 107)",#c19a6b
32,Eggshell,12,"(240, 234, 214)","(240, 234, 214)",#f0ead6
33,Tan,12,"(210, 180, 140)","(210, 180, 140)",#d2b48c
34,Cerulean Frost,12,"(109, 155, 195)","(109, 155, 195)",#6d9bc3
35,Dark Moss,12,"(74, 93, 35)","(74, 93, 35)",#4a5d23
36,Lemon Meringue,11,"(246, 234, 190)","(246, 234, 190)",#f6eabe
37,Buff,11,"(240, 220, 130)","(240, 220, 130)",#f0dc82
38,Lapis Lazuli,11,"(38, 97, 156)","(38, 97, 156)",#26619c
39,Light Sky,11,"(135, 206, 250)","(135, 206, 250)",#87cefa
40,Bisque,11,"(255, 228, 196)","(255, 228, 196)",#ffe4c4
41,Van Dyke,11,"(102, 66, 40)","(102, 66, 40)",#664228
42,French Beige,11,"(166, 123, 91)","(166, 123, 91)",#a67b5b
43,Deep Space,10,"(74, 100, 108)","(74, 100, 108)",#4a646c
44,Moss Green,10,"(138, 154, 91)","(138, 154, 91)",#8a9a5b
45,Beaver,10,"(159, 129, 112)","(159, 129, 112)",#9f8170
46,Arylide Yellow,10,"(233, 214, 107)","(233, 214, 107)",#e9d66b
47,Metallic Sunburst,10,"(156, 124, 56)","(156, 124, 56)",#9c7c38
48,Goldenrod,9,"(218, 165, 32)","(218, 165, 32)",#daa520
49,French Bistre,9,"(133, 109, 77)","(133, 109, 77)",#856d4d
50,Gunmetal,9,"(42, 52, 57)","(42, 52, 57)",#2a3439
51,Isabelline,9,"(244, 240, 236)","(244, 240, 236)",#f4f0ec
52,Fern Green,9,"(79, 121, 66)","(79, 121, 66)",#4f7942
53,Oxford Blue,9,"(0, 33, 71)","(0, 33, 71)",#002147
54,Olive Drab,9,"(107, 142, 35)","(107, 142, 35)",#6b8e23
55,Rifle Green,9,"(68, 76, 56)","(68, 76, 56)",#444c38
56,Citron,9,"(159, 169, 31)","(159, 169, 31)",#9fa91f
57,Taupe,9,"(72, 60, 50)","(72, 60, 50)",#483c32
58,Old Gold,9,"(207, 181, 59)","(207, 181, 59)",#cfb53b
59,Minion Yellow,8,"(245, 224, 80)","(245, 224, 80)",#f5e050
60,Cadet Blue,8,"(95, 158, 160)","(95, 158, 160)",#5f9ea0
61,Sage,8,"(188, 184, 138)","(188, 184, 138)",#bcb88a
62,Army Green,7,"(75, 83, 32)","(75, 83, 32)",#4b5320
63,Light French,7,"(200, 173, 127)","(200, 173, 127)",#c8ad7f
64,Russian Green,7,"(103, 146, 103)","(103, 146, 103)",#679267
65,Little Boy,7,"(108, 160, 220)","(108, 160, 220)",#6ca0dc
66,United Nations,7,"(91, 146, 229)","(91, 146, 229)",#5b92e5
67,Coffee,6,"(111, 78, 55)","(111, 78, 55)",#6f4e37
68,Dark Brown,6,"(101, 67, 33)","(101, 67, 33)",#654321
69,Slate Blue,6,"(106, 90, 205)","(106, 90, 205)",#6a5acd
70,May Green,6,"(76, 145, 65)","(76, 145, 65)",#4c9141
71,Indian Yellow,6,"(227, 168, 87)","(227, 168, 87)",#e3a857
72,Sap Green,6,"(80, 125, 42)","(80, 125, 42)",#507d2a
73,Sandy Brown,6,"(244, 164, 96)","(244, 164, 96)",#f4a460
74,Mustard,6,"(255, 219, 88)","(255, 219, 88)",#ffdb58
75,Camouflage Green,6,"(120, 134, 107)","(120, 134, 107)",#78866b
76,Dark Slate,6,"(72, 61, 139)","(72, 61, 139)",#483d8b
77,Fawn,6,"(229, 170, 112)","(229, 170, 112)",#e5aa70
78,Light Goldenrod,6,"(255, 236, 139)","(255, 236, 139)",#ffec8b
79,Cambridge Blue,6,"(163, 193, 173)","(163, 193, 173)",#a3c1ad
80,Dark Sea,6,"(143, 188, 143)","(143, 188, 143)",#8fbc8f
81,Seashell,5,"(255, 245, 238)","(255, 245, 238)",#fff5ee
82,Saffron,5,"(244, 196, 48)","(244, 196, 48)",#f4c430
83,Smoky Black,5,"(16, 12, 8)","(16, 12, 8)",#100c08
84,Charcoal,5,"(54, 69, 79)","(54, 69, 79)",#36454f
85,Light Blue,5,"(173, 216, 230)","(173, 216, 230)",#add8e6
86,Iceberg,5,"(113, 166, 210)","(113, 166, 210)",#71a6d2
87,Cerulean Blue,5,"(42, 82, 190)","(42, 82, 190)",#2a52be
88,Silver Pink,4,"(196, 174, 173)","(196, 174, 173)",#c4aead
89,Corn,4,"(251, 236, 93)","(251, 236, 93)",#fbec5d
90,Copper,4,"(184, 115, 51)","(184, 115, 51)",#b87333
91,Caput Mortuum,4,"(89, 39, 32)","(89, 39, 32)",#592720
92,Tumbleweed,4,"(222, 170, 136)","(222, 170, 136)",#deaa88
93,Yellow Orange,4,"(255, 174, 66)","(255, 174, 66)",#ffae42
94,Light Slate,4,"(132, 112, 255)","(132, 112, 255)",#8470ff
95,Mantis,4,"(116, 195, 101)","(116, 195, 101)",#74c365
96,Maximum Green,4,"(94, 140, 49)","(94, 140, 49)",#5e8c31
